date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:48	166729/166729	---M--	200	added ('OK')	image/png	etag:%2228b49-6472616a4a07a%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/bg/program-bg-h2.png	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/bg/program-bg-h2.png	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:49	25662/25662	---M--	200	added ('OK')	image/jpeg	etag:%22643e-64726173806a9%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-1.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-1.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:49	27123/27123	---M--	200	added ('OK')	image/jpeg	etag:%2269f3-647261739bc28%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-3.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-3.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:49	23844/23844	---M--	200	added ('OK')	image/jpeg	etag:%225d24-6472617381649%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-2.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-2.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:50	31635/31635	---M--	200	added ('OK')	image/jpeg	etag:%227b93-64726173b6208%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-5.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-5.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:50	31071/31071	---M--	200	added ('OK')	image/jpeg	etag:%22795f-647261739db68%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-4.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-4.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:50	26903/26903	---M--	200	added ('OK')	image/jpeg	etag:%226917-64726173ba088%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-6.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/grade/grade-h2-6.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:50	4034/4034	---M--	200	added ('OK')	image/png	etag:%22fc2-6472616d93d29%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/contact/vs-cta-ele1.png	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/contact/vs-cta-ele1.png	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:51	4293/4293	---M--	200	added ('OK')	image/png	etag:%2210c5-6472616d92d89%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/contact/vs-cta-ele2.png	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/contact/vs-cta-ele2.png	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:51	1592/1592	---M--	200	added ('OK')	image/png	etag:%22638-6472616da94e8%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/contact/vs-cta-ele3.png	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/contact/vs-cta-ele3.png	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:52	136066/136066	---M--	200	added ('OK')	image/png	etag:%2221382-6472618cc90a1%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/team/team-bg.png	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/team/team-bg.png	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:52	72852/72852	---M--	200	added ('OK')	image/jpeg	etag:%2211c94-64726172038f1%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/feedback/feedback-image-h2-1.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/feedback/feedback-image-h2-1.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:53	17797/17797	---M--	200	added ('OK')	image/jpeg	etag:%224585-6472618c4ef83%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/team/team-1-2.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/team/team-1-2.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
14:11:53	18311/18311	---M--	200	added ('OK')	image/jpeg	etag:%224787-6472618c61863%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/team/team-1-3.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/team/team-1-3.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index-2.html)
